Date,Adj_Close,Adj_Volume
05/02/2002,81.95851219,33614000
06/02/2002,81.60566266,29486000
07/02/2002,81.09515804,23445400
08/02/2002,82.64919341,19277800
11/02/2002,83.66269973,18792400
12/02/2002,83.3999355,13942500
13/02/2002,84.28581191,16781100
14/02/2002,84.12815682,20453800
15/02/2002,83.24978933,18366800
19/02/2002,81.65071094,15988100
20/02/2002,83.02456445,29242800
21/02/2002,81.30537033,26288600
22/02/2002,82.31136172,26572900
25/02/2002,83.6702034,17458700
26/02/2002,83.49753572,22346500
27/02/2002,83.82035557,28597900
28/02/2002,83.44498453,23755400
01/03/2002,85.38940353,26273600
04/03/2002,86.89839663,27184600
05/03/2002,86.6206198,22718900
06/03/2002,87.64913872,20143200
07/03/2002,87.46145319,19330800
08/03/2002,87.82931531,19930100
11/03/2002,88.01700084,15621800
12/03/2002,87.96444889,17153600
13/03/2002,87.11611258,17175300
14/03/2002,86.99599085,11168100
15/03/2002,87.82256164,21220100
18/03/2002,87.83761607,17548900
19/03/2002,88.42485576,17912000
20/03/2002,86.76100861,17114500
21/03/2002,86.79865448,25846800
22/03/2002,86.6104364,15235400
25/03/2002,85.53382893,17499600
26/03/2002,86.03072167,19947600
27/03/2002,86.25658564,19020300
28/03/2002,86.21893976,17532900
01/04/2002,86.25658564,17711000
02/04/2002,85.78227756,15669500
03/04/2002,85.17997742,25658500
04/04/2002,84.82612666,23549000
05/04/2002,84.84118712,19404900
08/04/2002,85.02187498,16470100
09/04/2002,84.42710506,15122700
10/04/2002,85.38325672,17199300
11/04/2002,83.26015065,25453700
12/04/2002,83.88503621,14950600
15/04/2002,83.24509622,17394900
16/04/2002,85.22514825,15040900
17/04/2002,85.04446039,12920100
18/04/2002,84.67555444,25204800
19/04/2002,84.9842291,10499200
22/04/2002,83.56883133,13922900
23/04/2002,83.20745034,16967000
24/04/2002,82.3717673,18902700
25/04/2002,82.41693738,25451500
26/04/2002,80.85096138,19769800
29/04/2002,80.45194054,17724400
30/04/2002,81.20481289,19473500
01/05/2002,82.19860365,24575600
02/05/2002,81.88239876,15666800
03/05/2002,80.99400939,18185500
06/05/2002,79.40544796,23630400
07/05/2002,79.12688293,21910000
08/05/2002,82.07061685,27917400
09/05/2002,81.12199618,18085600
10/05/2002,79.59366605,18958900
13/05/2002,81.21234312,14677700
14/05/2002,82.98159165,34201200
15/05/2002,82.65785654,29535300
16/05/2002,83.08699378,28092000
17/05/2002,83.4935456,27823700
20/05/2002,82.59009501,13833800
21/05/2002,81.83722266,16877200
22/05/2002,82.01791579,15844200
23/05/2002,82.89124471,13879800
24/05/2002,81.8296977,11877000
28/05/2002,81.3855,24236900
29/05/2002,80.78320588,14773300
30/05/2002,80.55734191,18217900
